software,count
BME-SW-AdmissionPros-Enterprise NCSU-4.0.602-SS,0
BME-SW-Labstats-LabStats Client-7.17.1025.0-SS,0
BME-SW-Adobe-Photoshop-2018-SS,0
BME-SW-Wolfram Research-Mathematica-8.0.4-SS,0
BME-SW-Ansys-Ansys Electronics-18.0,0
BME-SW-Adobe-Bridge-2018,0
BME-SW-Ansys-Ansys Electronics-18.0-SS,0
BME-SW-Adobe-Dreamweaver-2018,0
BME-SW-Microsoft-SCCM ConfigMgr Console-R3,3
BME-SW-Adobe-Illustrator-2018,0
BME-FW-Alertus-Alertus-AUTO-SS,0
BME-SW-Cisco-Network Recording Player-2.29.3200.910,0
BME-SW-Adobe-InDesign-2018,0
BME-FW-Google-Earth-7.1.2.2041-SS,0
BME-SW-Adobe-InDesign User License-2018-SS,0
BME-FW-Oracle-Java JRE-8u144-SS,0
BME-SW-Maplesoft-Maple-2017-SS,0
BME-SW-Adobe-Photoshop-2018,0
BME-SW-PTC-MathCAD Prime-4.0,0
BME-FW-Oracle-Java JDK-8u131,0
BME-SW-Mathworks-MATLAB-R2016a,14
BME-SW-Adobe-Premiere Pro User License-2018-SS,0
BME-SW-PTC-MathCAD Prime-4.0-SS,0
BME-FW-NCSU-Home Drive-1.0,0
BME-FW-Oracle-Java JDK-8u131-SS,0
BME-SW-Microsoft-Project-2010,0
BME-SW-Adobe-Lightroom-2018,0
BME-FW-Oracle-Java JRE-8u131,0
BME-SW-SolidWorks-SolidWorks-2011SP4-SS,0
BME-SW-Adobe-After Effects-2018-SS,0
BME-SW-Adobe-Design Web Premium-CS6-r2,0
BME-FW-Oracle-Java JRE-8u131-SS,0
BME-FW-OpenBabel-Babel GUI-2.4.1-SS,0
BME-SW-SolidWorks-SolidWorks-2012SP3,0
BME-SW-Adobe-Premiere Pro-2018,0
BME-SW-Design Science-MathType-6.9-SS,0
BME-FW-Paul Scherrer Institut-SASfit-0.94.9,0
BME-SW-Adobe-Illustrator User License-2018,0
BME-FW-Simon Tatham-PuTTY-0.66,0
BME-SW-IBM-SPSS-22-SS,0
BME-SW-Cisco-Jabber-9.7.1 Build 18710,0
BME-FW-Paul Scherrer Institut-SASfit-0.94.9-SS,0
BME-SW-Adobe-Creative Cloud Full-2018,0
BME-FW-Microsoft-MPEG2 Video Extension-AUTO,0
BME-SW-Ansys-Ansys Suite-18.0,0
BME-SW-SAS-JMP-13-SS,0
BME-FW-Google-Earth-6.0.3.2197,0
BME-SW-SAS-SAS-9.4-SSr2,0
BME-FW-UCSF-Chimera-1.12,0
BME-SW-Adobe-Illustrator User License-2018-SS,0
BME-FW-Audacity-Audacity-2.0.6-SS,0
BME-FW-Microsoft-MPEG2 Video Extension-AUTO-SS,0
BME-SW-Cisco-Network Recording Player-29.13.40.30001-SS,0
BME-FW-UCSF-Chimera-1.12-SS,0
BME-SW-Adobe-Illustrator-2018-SS,0
BME-SW-Mathworks-MATLAB-R2016b-SS,0
BME-FW-GIMP-GIMP-2.8.6,42
BME-SW-PerkinElmer-ChemDraw Professional-16,0
BME-SW-Adobe-Bridge User License-2018-SS,0
BME-FW-TeX Users Group-TeXworks-0.4.4-SS,0
BME-SW-PerkinElmer-ChemDraw Professional-16-SS,0
BME-SW-Adobe-InCopy User License-2018-SS,0
BME-FW-Oracle-Java JRE-8u101-SS,0
BME-SW-Adobe-Acrobat Professional-DC-SS,0
